"EPCI_EPT","TYPO_IPCE","TYPO_INEG2","TYPO_FREI"
"200072544","MOY","Q3","DEGP"
"200072635","FAV","Q2","MOY"
"200072643","DEG","Q4","DEGP"
"200072650","FAVP","Q2","FAVP"
"200072668","MOY","Q3","FAVP"
"200072676","MOY","Q3","DEGP"
"200072684","FAVP","Q3","MOY"
"200072692","MOY","Q1","FAV"
"200072700","FAV","Q3","MOY"
"200072718","FAV","Q2","DEG"
"200072726","MOY","Q4","DEG"
"200072734","FAVP","Q3","FAVP"
"200072825","FAVP","Q2","MOY"
"200072874","FAVP","Q1","DEGP"
"200072882","FAVP","Q3","FAVP"
"200072981","MOY","Q3","DEG"
"200072999","MOY","Q3","FAV"
"200073013","FAVP","Q1","MOY"
"200073096","FAV","Q3","MOY"
"200073104","DEG","Q4","MOY"
"200073112","MOY","Q4","DEG"
"200073120","MOY","Q4","DEGP"
"200073138","FAV","Q4","DEGP"
"200073146","MOY","Q4","DEG"
"200073161","FAVP","Q2","MOY"
"200073237","FAVP","Q2","FAV"
"200073245","DEG","Q3","MOY"
"200073252","DEG","Q5","DEGP"
"200073260","MOY","Q4","MOY"
"200073344","FAVP","Q2","FAV"
"200073393","MOY","Q4","FAVP"
"200073401","FAVP","Q3","FAV"
"200073419","FAV","Q3","FAV"
"200073427","FAVP","Q4","DEG"
"200077014","FAV","Q3","DEG"
"200083392","FAV","Q1","FAVP"
"200084952","DEG","Q3","MOY"
"200085728","MOY","Q4","FAVP"
"200085751","MOY","Q5","DEG"
"200089456","DEG","Q2","MOY"
"200090504","FAV","Q2","DEGP"
"200090561","DEGP","Q3","DEG"
"200090579","FAV","Q3","FAV"
"200090751","DEGP","Q5","DEGP"
"200093201","MOY","Q2","FAV"
"200096634","FAV","Q2","FAVP"
"200096642","FAV","Q2","FAVP"
"200096675","FAV","Q3","FAV"
"200067221","MOY","Q3","FAV"
"200096956","MOY","Q1","MOY"
"240100610","FAV","Q3","MOY"
"240100750","MOY","Q4","MOY"
"240100800","FAV","Q3","FAV"
"240100883","FAV","Q4","DEG"
"240100891","DEG","Q4","DEG"
"240200444","DEGP","Q4","DEG"
"240200469","DEGP","Q4","DEGP"
"240200477","DEGP","Q3","DEGP"
"240200493","DEGP","Q5","DEGP"
"240200501","MOY","Q4","DEGP"
"240200519","MOY","Q3","DEG"
"240200576","MOY","Q4","DEG"
"240200584","MOY","Q3","DEGP"
